June 2019 : US Category Changes,,,,,,,,,,
,,,,,,,,,,
Change Type,Count,,,,,,,,,
New,1216,,,,,,,,,
Retired,435,,,,,,,,,
Rename,137,,,,,,,,,
Move,67,,,,,,,,,
Move & Rename,46,,,,,,,,,
Total,1901,,,,,,,,,
,,,,,,,,,,
Category Name,,,,,,,,Category ID,Comments,Actions Required
,,,,,Metal Cutting,,,41950,"All listings are being moved into [Metalworking Manuals, Books & Plans - 258092].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Metal Fabrication,,,42148,"All listings are being moved into [Metalworking Manuals, Books & Plans - 258092].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Plans,,,45046,"All listings are being moved into [Metalworking Manuals, Books & Plans - 258092].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Welding,,,41951,"All listings are being moved into [Metalworking Manuals, Books & Plans - 258092].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Other Metalworking Manuals,,,25281,"All listings are being moved into [Metalworking Manuals, Books & Plans - 258092].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Other CNC & Metalworking Supplies,,,,633,All listings are being moved into [Other Metalworking Supplies - 258221].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,-,Metalworking Tools,,,,,185129,This Category is being retired.,
,,,,Drill Presses,,,,66917,All listings are being moved into [Magnetic & Portable Drill Presses - 258064].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Drilling & Tapping Machines,,,,12579,All listings are being moved into [Other Metalworking Equipment - 258086].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,EDM Machines,,,,25277,All listings are being moved into [Electrical Discharge Machines - 258068].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Finishing Machines,,,,25279,The Category ID is being changed to [258069].,Please update your category ID accordingly.
,,,,Grinding Machines,,,,12580,The Category ID is being changed to [258072].,Please update your category ID accordingly.
,,,,Metalworking Lathes,,,,97230,The Category ID is being changed to [258076].,Please update your category ID accordingly.
,,,,Milling Machines,,,,12584,All listings are being moved into [Machining Centers & Milling Machines - 258084].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Other Metalworking Tools,,,,185131,All listings are being moved into [Other Metalworking Equipment - 258086].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,-,Metalworking Equipment,,,,,258061,New Category,
,,,,Bending Machines,,,,42147,Moved from [Metalworking Tools-185129] Renamed from [Metal Bending Machines],
,,,,Beveling Machines,,,,258443,New Category,
,,,,Boring Machines,,,,258062,New Category,
,,,-,Drilling & Tapping Machines,,,,258063,New Category,
,,,,,Drill & Tap Centers,,,258067,New Category,
,,,,,Floor & Bench Drill Presses,,,258065,New Category,
,,,,,Magnetic & Portable Drill Presses,,,258064,New Category,
,,,,,Tapping Arms,,,258066,New Category,
,,,,Electrical Discharge Machines,,,,258068,New Category,
,,,,Finishing Machines,,,,258069,New Category,
,,,,Folding Machines,,,,258070,New Category,
,,,,Gear Cutting Machines,,,,258071,New Category,
,,,,Grinding Machines,,,,258072,New Category,
,,,,Honing & Lapping Machines,,,,258073,New Category,
,,,,Ironworker Machines,,,,258075,New Category,
,,,,Laser Cutting Machines,,,,258074,New Category,
,,,,Machining Centers & Milling Machines,,,,258084,New Category,
,,,,Metalworking Lathes,,,,258076,New Category,
,,,-,Metalworking Saws & Cutters,,,,258077,New Category,
,,,,,Circular Saws,,,259022,New Category,
,,,,,Concrete Cut-Off Saws,,,259023,New Category,
,,,,,Diamond Cutters,,,258083,New Category,
,,,,,Hacksaws,,,258082,New Category,
,,,,,Horizontal Band Saws,,,258079,New Category,
,,,,,Jig & Scroll Saws,,,258081,New Category,
,,,,,Masonry & Tile Saws,,,259024,New Category,
,,,,,Miter Saws,,,259025,New Category,
,,,,,Portable Band Saws,,,258080,New Category,
,,,,,Reciprocating Saws,,,258455,New Category,
,,,,,Vertical Band Saws,,,258060,New Category,
,,,,,Other Metalworking Saws,,,259026,New Category,
,,,,Notcher Machines,,,,258442,New Category,
,,,,Polishing & Buffing Machines,,,,258085,New Category,
,,,,Press Brakes,,,,41957,Moved from [Metalworking Tools-185129],
,,,,Punch Presses,,,,31372,Moved from [Metalworking Tools-185129],
,,,,Riveting Machines,,,,258445,New Category,
,,,,Rollformer Machines,,,,258444,New Category,
,,,-,Sanding Machines,,,,259028,New Category,
,,,,,Floor Sanders,,,259029,New Category,
,,,,,Handheld Sanders,,,259030,New Category,
,,,,Screw Feeder & Screw Conveyor Machines,,,,104235,Moved from [Equipment Specific Tooling-104234] Renamed from [Automatics & Screw],
,,,,Sheet Metal Shears,,,,41958,Moved from [Metalworking Tools-185129],
,,,,Waterjet Cutting Machines,,,,258052,New Category,
,,,,Other Metalworking Equipment,,,,258086,New Category,
,,,Metalworking Equipment Replacement Parts,,,,,258169,New Category,
,,,Metalworking Fluids & Coolants,,,,,185128,Moved from [CNC & Metalworking Supplies-25257] Renamed from [Cutting Oil & Drill Coolant],
,,-,Metalworking Inspection & Measurement,,,,,185130,Moved from [Metalworking Tools-185129],
,,,,Calipers,,,,25269,All listings are being moved into [Dial Calipers - 258088].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,-,Calipers,,,,258058,New Category,
,,,,,Caliper Gages,,,258087,New Category,
,,,,,Dial Calipers,,,258088,New Category,
,,,,,Digital Calipers,,,258089,New Category,
,,,,,Joint Calipers & Dividers,,,258090,New Category,
