June 2019 : US Category Changes,,,,,,,,,,
,,,,,,,,,,
Change Type,Count,,,,,,,,,
New,1216,,,,,,,,,
Retired,435,,,,,,,,,
Rename,137,,,,,,,,,
Move,67,,,,,,,,,
Move & Rename,46,,,,,,,,,
Total,1901,,,,,,,,,
,,,,,,,,,,
Category Name,,,,,,,,Category ID,Comments,Actions Required
,,,,Orthodontic Coil Springs,,,,257847,,
,,,,Orthodontic Headgear,,,,257848,,
,,,,"Orthodontic Ligatures, Elastics & Power Chains",,,,257849,,
,,,,Orthodontic Wax,,,,257850,,
,,,,"Orthopedic Nails, Pins & Wire",,,,257851,,
,,,,Ostomy Pouches & Support Belts,,,,184561,,
,,,,Ostomy Wafers/Skin Barriers,,,,184563,,
,,,,pH Test Strips,,,,257852,,
,,,,Phosphor Plates & Barrier Envelopes,,,,257853,,
,,,,"Prophy Brushes, Cups & Angles",,,,257854,,
,,,,Prophy Paste,,,,257855,,
,,,,Retainer & Denture Cases,,,,257856,,
,,,,"Rubber Dams, Clamps, Frames & Punches",,,,257857,,
,,,,Saliva Ejectors,,,,257858,,
,,,,Scaler Inserts/Tips,,,,257859,,
,,,,Shade Guides,,,,257860,,
,,,,Sharps Containers,,,,257861,,
,,,,Shoe Covers,,,,257862,,
,,,,Sterilization Trays & Cases,,,,184564,,
,,,,"Stoppers, Bungs & Seals",,,,257863,,
,,,,Surgical Gowns,,,,257864,,
,,,,Surgical Mesh,,,,257865,,
,,,,Surgical Tape,,,,257866,,
,,,,Syringes,,,,31476,,
,,,,Syringe Filters,,,,257867,,
,,,,Tooth Whitening Gels & Kits,,,,257868,,
,,,,Tourniquets,,,,257869,,
,,,,Trial Lens Sets,,,,257870,,
,,,,Tube Racks,,,,257871,,
,,,,Typodonts & Typodont Teeth,,,,257872,,
,,,,X-Ray Markers,,,,257873,,
,,,,"Other Medical, Lab & Dental Supplies",,,,257874,,
,,-,"Medical, Lab & Caregiving Furniture",,,,,184500,,
,,,,"Chiropractic, Flexion & Traction Tables",,,,257875,,
,,,,"Commodes, Shower Chairs & Transfer Benches",,,,257876,"Renamed from [Commodes, Shower Chairs, & Transfer Benches]",
,,,,Dental Examination Chairs,,,,257877,,
,,,,Examination & Operation Tables,,,,184502,,
,,,,Fume Hoods & Biological Safety Cabinets,,,,257878,,
,,,,Homecare & Hospital Beds,,,,257879,,
,,,,IV Poles,,,,257880,,
,,,,Lab Cabinets & Casework,,,,257881,,
,,,,"Lab Frames, Rods & Clamps",,,,257882,,
,,,,Medical Carts & Stands,,,,184501,,
,,,,Patient Lifts & Slings,,,,184505,,
,,,,Patient Privacy Curtains,,,,257883,,
,,,,Stretchers & Backboards,,,,159691,,
,,,,Surgical & Examination Lights,,,,257884,,
,,,,Vibration Isolation Tables,,,,257885,,
,,,,"Other Medical, Lab & Caregiving Furniture",,,,257886,,
,,,"Other Healthcare, Lab & Dental",,,,,3179,,
,-,"Heavy Equipment, Parts & Attachments",,,,,,257887,,
,,-,Heavy Equipment,,,,,177641,,
,,,,Asphalt & Concrete Pavers,,,,73121,,
,,,,Backhoe Loaders,,,,95493,,
,,,,Chemical & Petrochemical Equipment,,,,26257,All listings are being moved into [Other Oil & Gas - 57114].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Combines & Harvesters,,,,73094,Renamed from [Combines],
,,,,Heating & Cooling Equipment,,,,45040,All listings are being moved into [Other Heavy Equipment - 177643].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Compactors & Asphalt Rollers,,,,41492,Renamed from [Riding Compactors & Rollers],
,,,,Cranes,,,,25253,,
,,,,Crawler Dozers & Loaders,,,,97121,,
,,,,Directional Drills,,,,73120,,
,,,,Excavators,,,,97122,,
,,,,Forklifts & Telehandlers,,,,97185,Renamed from [Fork Lifts & Telehandlers],
,,,,Forwarders & Skidders,,,,259041,New Category,
,,,,Mining Equipment,,,,92152,,
,,,,Motor Graders,,,,61568,Renamed from [Graders],
,,,,Scissor & Boom Lifts,,,,97123,,
,,,,Skid Steer Loaders,,,,95494,,
,,,,Snow Equipment,,,,259042,New Category,
,,,,Tractors,,,,91953,,
,,,,Trailers,,,,95495,,
,,,,Trenchers,,,,97125,Renamed from [Riding Trenchers],
,,,,Utility Vehicles,,,,58178,,
,,,,Wheel Loaders,,,,58161,,
,,,,"Wood Chippers, Stump Grinders & Mulchers",,,,63924,Renamed from [Wood Chippers & Stump Grinders],
,,,,Antique & Vintage Farm Equipment,,,,177642,,
,,,,Other Heavy Equipment,,,,177643,,
,,-,Heavy Equipment Attachments,,,,,177647,,
,,,,Augers,,,,66927,,
,,,,Backhoe Attachments,,,,66926,,
,,,,Bale Spears,,,,159682,,
,,,,Balers,,,,66879,,
,,,,Blades & Box Blades,,,,66876,Renamed from [Box Blades & Snow Plows],
,,,,Booms,,,,259043,New Category,
,,,,Brooms & Sweepers,,,,259044,New Category,
,,,,Buckets,,,,50908,,
,,,,Chippers,,,,259045,New Category,
,,,,Compactors,,,,259046,New Category,
,,,,Couplers,,,,259047,New Category,
,,,,Cultivators,,,,66886,,
,,,,Dump Hoppers,,,,259054,New Category,
,,,,Forks & Fork Extensions,,,,41488,Renamed from [Forks],
,,,,Grain Equipment,,,,26187,,
,,,,Grapples,,,,259048,New Category,
,,,,Harrows,,,,66887,Renamed from [Disc Harrows],
,,,,Harvesting Equipment,,,,91954,,
,,,,Hay Rakes,,,,66881,,
,,,,Hay Tedders,,,,259049,New Category,
,,,,Hitches,,,,119096,,
,,,,Irrigation Equipment,,,,26189,,
,,,,Manure Spreaders,,,,106365,,
,,,,Material Handling Equipment,,,,26190,,
,,,,Mount Plates,,,,259050,New Category,
,,,,"Mowers, Mower Decks & Mower Conditioners",,,,66880,Renamed from [Mowers & Mower Conditioners],
,,,,Mower Decks,,,,66877,"All listings are being moved into [Mowers, Mower Decks & Mower Conditioners - 66880].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Planters,,,,66883,,
,,,,Plows,,,,66888,,
,,,,Post Hole Diggers,,,,109296,,
,,,,Rakes,,,,259051,New Category,
,,,,Rippers,,,,259052,New Category,
,,,,Seeders & Spreaders,,,,66884,,
,,,,Snow Blowers & Snowplows,,,,159683,Renamed from [Snow Blowers],
,,,,Sprayers,,,,159684,,
,,,,Thumbs,,,,259053,New Category,
,,,,Tillers & Trenchers,,,,66889,Renamed from [Tillers],
,,,,Antique & Vintage Implements,,,,46570,,
,,,,Other Heavy Equipment Attachments,,,,11752,,
,,-,Heavy Equipment Parts & Accessories,,,,,41489,,
,,,,Construction Equipment Parts,,,,41490,All listings are being moved into [Other Heavy Equipment Parts & Accessories - 97126].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Farm Implement Parts,,,,48712,All listings are being moved into [Other Heavy Equipment Parts & Accessories - 97126].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Metalworking Equipment Parts,,,,177644,All listings are being moved into [Metalworking Equipment Replacement Parts - 258169].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Tractor Parts,,,,121876,All listings are being moved into [Other Heavy Equipment Parts & Accessories - 97126].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Adapters,,,,259059,New Category,
,,,,Air Conditioning & Heating,,,,259060,New Category,
,,,,Air Intake & Fuel Delivery,,,,259093,New Category,
,,,,Belts,,,,259064,New Category,
,,,,Brakes & Brake Parts,,,,259065,New Category,
,,,,"Cab Enclosures, Enclosure Parts & Glass Panels",,,,259069,New Category,
,,,-,Charging & Starting Systems,,,,259694,New Category,
,,,,,Electrical Systems,,,259085,New Category,
,,,,,"Batteries, Battery Boxes & Chargers",,,259063,New Category,
,,,,Complete Engines & Engine Parts,,,,259088,New Category,
,,,,"Doors, Door Glass & Accessories",,,,259072,New Category,
,,,,Electronics,,,,259086,New Category,
,,,,Engine Cooling Systems,,,,259089,New Category,
,,,,Exhausts,,,,259087,New Category,
,,,,"Fenders, Mudguards & Hoods",,,,259091,New Category,
,,,,Filters,,,,259094,New Category,
,,,,Gaskets,,,,259095,New Category,
,,,,Gauges,,,,259096,New Category,
,,,,Gearboxes,,,,259097,New Category,
,,,,Grilles & Grille Inserts,,,,259099,New Category,
,,,,Hardware Parts,,,,259100,New Category,
,,,-,Heavy Equipment Attachment Parts,,,,259693,New Category,
,,,,,"Auger Bits, Drives & Accessories",,,259659,New Category,
,,,,,Bale Spears & Bushings,,,259062,New Category,
,,,,,"Bucket Teeth, Linkage Parts, Pins & Bushings",,,259067,New Category,
,,,,,"Cutting Edges, Box Blade Parts & Shanks",,,259066,New Category,
,,,,,Grain Drill & Planter Parts,,,259098,New Category,
,,,,,"Moldboards, Plowshares, Screed Plates & Discs",,,259661,New Category,
,,,,,Rotary Mower Parts,,,259666,New Category,
,,,,,Snowplow Parts,,,259686,New Category,
,,,,,Sprayer Parts,,,259671,New Category,
,,,,,"Three Point Hitch Parts, Hitches & Drawbars",,,259675,New Category,
,,,,,Tines,,,259676,New Category,
,,,-,Heavy Equipment Accessories,,,,259692,New Category,
,,,,,Cameras,,,259068,New Category,
,,,,,Decals & Emblems,,,259070,New Category,
,,,,,Floor Liners & Mats,,,259092,New Category,
,,,,,Fluids & Dipsticks,,,259684,New Category,
,,,,,Heavy Equipment Paint,,,259101,New Category,
,,,,,"Keys, Locks & Hardware",,,259657,New Category,
,,,,,Radios & Accessories,,,259664,New Category,
,,,,,Ramps,,,259665,New Category,
,,,,,Stabilizer Jacks,,,259672,New Category,
,,,,,Steel Tarps,,,259673,New Category,
,,,,,Tractor Canopies & Umbrellas,,,259680,New Category,
,,,,,Trailer Ladder Racks,,,259682,New Category,
,,,,,Windshield Wiper Arms & Blades,,,259689,New Category,
,,,,Hydraulics,,,,259081,New Category,
,,,,Ignition Systems,,,,259655,New Category,
,,,,Joystick Controllers & Controller Boxes,,,,259656,New Category,
,,,,"Lights, Reflectors & Accessories",,,,259658,New Category,
,,,,Mirrors,,,,259660,New Category,
,,,,"Pistons, Rings, Rods & Piston Racks",,,,259690,New Category,
,,,,Power Take Off Parts,,,,259662,New Category,
,,,,Power Units,,,,259663,New Category,
,,,,Seals & O-Rings,,,,259667,New Category,
,,,,"Seats, Components, Cushions & Covers",,,,259669,New Category,
,,,,Sensors,,,,259670,New Category,
,,,,Steering & Power Steering,,,,259674,New Category,
,,,,Trailer Axles,,,,259681,New Category,
,,,,"Transmission, Drivetrain & Axles",,,,259073,New Category,
,,,,Valves,,,,259687,New Category,
,,,-,"Wheels, Tires, Tracks & Parts",,,,259691,New Category,
,,,,,Tires,,,259677,New Category,
,,,,,Tire Accessories,,,259678,New Category,
,,,,,Tracks,,,259683,New Category,
,,,,,Wheels & Rims,,,259688,New Category,
,,,,Antique & Vintage Equipment Parts,,,,160934,,
,,,,Heavy Equipment Manuals & Books,,,,257888,,
,,,,Other Heavy Equipment Parts & Accessories,,,,97126,,
,+,HVAC,,,,,,42909,,
,+,"Hydraulics, Pneumatics, Pumps & Plumbing",,,,,,183978,,
,+,Light Equipment & Tools,,,,,,61573,,
,+,Material Handling,,,,,,26221,,
,+,Office,,,,,,25298,,
,+,Printing & Graphic Arts,,,,,,26238,,
,-,Restaurant & Food Service,,,,,,11874,,
,,-,Bar & Beverage Equipment,,,,,25362,,
,,,,Bar Supplies,,,,11875,All listings are being moved into [Other Commercial Bar Supplies - 258840].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,"Blenders, Mixers & Juicers",,,,67121,All listings are being moved into [Commercial Blenders - 258488].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,-,Commercial Bar Supplies,,,,258470,New Category,
,,,,,Back Bar Liquor Display Shelves,,,258471,New Category,
,,,,,Bar Caddies & Dispensers,,,258472,New Category,
,,,,,Bar Mats & Shelf Liners,,,258473,New Category,
,,,,,Bar Towels,,,258474,New Category,
,,,,-,Bartender Tools & Accessories,,,258475,New Category,
,,,,,,Bar Muddlers,,258476,New Category,
,,,,,,Bar Spoons,,258477,New Category,
,,,,,,Bartender Kits,,258478,New Category,
,,,,,,Bottle Openers & Cap Catchers,,258479,New Category,
,,,,,,Bottle Pourers & Stoppers,,258480,New Category,
,,,,,,Cocktail Shakers,,258481,New Category,
,,,,,,Cocktail Strainers,,258482,New Category,
,,,,,,"Gelatin Shot Racks, Syringes & Kits",,258485,New Category,
,,,,,,Glass Rimmers & Sponges,,258483,New Category,
,,,,,,Ice/Wine Buckets & Ice Tools,,258484,New Category,
,,,,,,Jiggers,,258486,New Category,
,,,,,Other Commercial Bar Supplies,,,258840,New Category,
,,,-,"Commercial Blenders, Juicers & Milkshake Machines",,,,258487,New Category,
,,,,,Commercial Blenders,,,258488,New Category,
,,,,,Commercial Juicers,,,258489,New Category,
,,,,,Commercial Milkshake Machines,,,258490,New Category,
,,,,,Blender & Juicer Parts & Accessories,,,258491,New Category,
,,,-,"Commercial Coffee, Cocoa & Tea Equipment",,,,53185,"Renamed from [Coffee, Cocoa & Tea Equipment]",
,,,,,Cappuccino & Hot Chocolate,,,64016,"All listings are being moved into [Other Commercial Coffee, Cocoa & Tea Equipment - 53306].","Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Coffee Brewers & Warmers,,,67134,"All listings are being moved into [Other Commercial Coffee, Cocoa & Tea Equipment - 53306].","Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Coffee Containers,,,67128,"All listings are being moved into [Other Commercial Coffee, Cocoa & Tea Equipment - 53306].","Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Espresso Supplies,,,53304,"All listings are being moved into [Coffee, Cocoa & Tea Supplies - 258518].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Tea Equipment,,,53188,"All listings are being moved into [Other Commercial Coffee, Cocoa & Tea Equipment - 53306].","Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Bubble Tea Equipment,,,258515,New Category,
,,,,,Cappuccino & Hot Chocolate Dispensers,,,258492,New Category,
,,,,,Chocolate Tempering Machines,,,258493,New Category,
,,,,,Coffee & Espresso Grinders,,,53305,Renamed from [Grinders],
,,,,-,Coffee & Espresso Machines,,,258494,New Category,
,,,,,,Automatic Coffee Brewers,,258495,New Category,
,,,,,,Pourover Coffee Brewers,,258496,New Category,
,,,,,,Cappuccino & Espresso Machines,,53187,"Moved from [Coffee, Cocoa & Tea Equipment-53185] Renamed from [Espresso Machines]",
,,,,,,High Volume Coffee Machine Urns,,258497,New Category,
,,,,-,Coffee & Tea Dispensers,,,258498,New Category,
,,,,,,Airpots,,258499,New Category,
,,,,,,Carafes & Decanters,,258510,New Category,
,,,,,,Coffee Urns,,258511,New Category,
,,,,,,Teapots & Coffee Pots,,259009,New Category,
,,,,,Coffee Roasters,,,57070,,
,,,,,Coffee Warming Stations,,,258512,New Category,
,,,,,Hot Water Boilers & Dispensers,,,258513,New Category,
,,,,,Iced Tea & Iced Coffee Brewers & Dispensers,,,258516,New Category,
,,,,,"Coffee, Cocoa & Tea Equipment Parts",,,258517,New Category,
,,,,,"Coffee, Cocoa & Tea Supplies",,,258518,New Category,
,,,,,"Other Commercial Coffee, Cocoa & Tea Equipment",,,53306,Renamed from [Other Commercial Coffee Equipment],
,,,,Coolers & Glass Frosters,,,,67118,All listings are being moved into [Other Bar & Beverage Equipment - 11876].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,-,Commercial Cold & Frozen Beverage Dispensers,,,,258519,New Category,
,,,,,Cold Beverage Dispensers,,,258520,New Category,
,,,,,Frozen Drink & Slush Machines,,,25365,Moved from [Bar & Beverage Equipment-25362],
,,,,,Soda Fountain Machines,,,57068,Moved from [Bar & Beverage Equipment-25362] Renamed from [Fountains & Soda Dispensing],
,,,,,Water Fountains & Bottle Filling Stations,,,258521,New Category,
,,,,,Cold/Frozen Beverage Dispenser Parts & Accessories,,,258522,New Category,
,,,-,Commercial Water Filtration,,,,258523,New Category,
,,,,,Water Filter Cartridges,,,258524,New Category,
,,,,,Water Filter Systems,,,258525,New Category,
,,,,,Water Filtration Parts & Accessories,,,258526,New Category,
,,,-,Coolers & Glass Frosters,,,,258527,New Category,
,,,,,Back Bar & Bottle Coolers,,,258528,New Category,
,,,,,Glass Chillers & Frosters,,,258529,New Category,
,,,-,Draft Beer Dispensing,,,,57071,,
,,,,,"Couplers, Hoses & Fittings",,,67139,All listings are being moved into [Air & Beer Line Hoses & Fittings - 258530].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Draft Beer Towers & Faucets,,,67135,All listings are being moved into [Faucets & Shanks - 258534].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Air & Beer Line Hoses & Fittings,,,258530,New Category,
,,,,,CO2 & Nitrogen Air Tanks,,,258531,New Category,
,,,,,Draft Beer Regulators,,,258532,New Category,
,,,,,Draft Beer Towers,,,258533,New Category,
,,,,,Drip & Drain Pans,,,67136,,
,,,,,Empty Kegs,,,67137,,
,,,,,Faucets & Shanks,,,258534,New Category,
,,,,,Keg Couplers,,,258535,New Category,
,,,,,Keg Pumps,,,67138,,
,,,,,Kegerators,,,67119,"Moved from [Bar & Beverage Equipment-25362] Renamed from [Kegerator, Direct Draw Coolers]",
,,,,,Systems & Conversion Kits,,,53189,,
,,,,,Tap Handles,,,67140,,
,,,,,Draft Beer Parts & Accessories,,,258536,New Category,
,,,,,Other Draft Beer Dispensing,,,67141,,
,,,,Water Filtration,,,,57069,All listings are being moved into [Water Filter Cartridges - 258524].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Portable Bars,,,,258537,New Category,
,,,-,Underbar Equipment,,,,258538,New Category,
,,,,,Cocktail Stations & Workstations,,,258539,New Category,
,,,,,Speed Rails & Underbar Liquor Displays,,,258540,New Category,
,,,,,Underbar Blender Stations,,,258541,New Category,
,,,,,Underbar Glass Racks & Drainboards,,,258542,New Category,
,,,,,Underbar Ice Bins,,,258543,New Category,
,,,,Other Bar & Beverage Equipment,,,,11876,,
,,-,Commercial Kitchen Equipment,,,,,25367,,
,,,-,Baking & Dough Equipment,,,,95072,This Category is being retired.,
,,,,,Dough Mixers,,,184288,All listings are being moved into [Commercial Mixers - 258623].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Dough Proofers & Warmers,,,95086,All listings are being moved into [Commercial Dough Proofing Cabinets - 258545].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Pans,,,95092,All listings are being moved into [Commercial Baking Supplies - 258569].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,-,Baking & Dough Equipment,,,,259012,New Category,
,,,,,Bakery Racks,,,95093,,
,,,,,Commercial Donut Machines,,,95085,Renamed from [Donut Machines],
,,,,,Commercial Dough Presses,,,258544,New Category,
,,,,,Commercial Dough Proofing Cabinets,,,258545,New Category,
,,,,,Commercial Dough Rollers & Cutters,,,95087,Renamed from [Dough Rollers & Cutters],
,,,,,Dough Preparation Equipment Parts & Accessories,,,258546,New Category,
,,,,,Other Commercial Baking Equipment,,,95073,,
,,,-,Cleaning & Warewashing,,,,57106,,
,,,,,Dishwashers,,,57107,All listings are being moved into [Other Cleaning & Warewashing - 53230].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Faucets,,,159706,All listings are being moved into [Other Cleaning & Warewashing - 53230].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Booster Water Heaters,,,258547,New Category,
,,,,,Brush Glass Washers & Polishers,,,258548,New Category,
,,,,-,Commercial Dishwashers,,,258831,New Category,
,,,,,,Conveyor Dishwashers,,258832,New Category,
,,,,,,Door-Type Dishwashers,,258833,New Category,
,,,,,,Undercounter Dishwashers,,258834,New Category,
,,,,-,Commercial Faucets,,,258835,New Category,
,,,,,,Deck Mount Faucets,,258836,New Category,
,,,,,,Pot & Wok Filler Faucets,,258837,New Category,
,,,,,,Pre-Rinse Faucet Units,,258838,New Category,
,,,,,,Wall Mount Faucets,,258839,New Category,
,,,,,Commercial Sinks,,,67193,,
,,,,,Waste Disposal,,,57110,All listings are being moved into [Other Cleaning & Warewashing - 53230].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Dishtables,,,258550,New Category,
,,,,,Undercounter Glass Washers,,,258551,New Category,
,,,,-,Waste Disposal,,,258552,New Category,
,,,,,,Garbage Disposers,,258553,New Category,
,,,,,,Grease Traps,,57108,Moved from [Cleaning & Warewashing-57106],
,,,,,,Waste Pulpers & Extractors,,258554,New Category,
,,,,-,Cleaning & Warehousing Parts & Accessories,,,258555,New Category,
,,,,,,Booster Water Heater Parts & Accessories,,258556,New Category,
,,,,,,Dishwasher Parts & Accessories,,258557,New Category,
,,,,,,Faucet Parts & Accessories,,258558,New Category,
,,,,,,Glass Washer Parts & Accessories,,258559,New Category,
,,,,,,Sink & Drain Parts & Accessories,,258560,New Category,
,,,,,Other Cleaning & Warewashing,,,53230,Renamed from [Other Commercial Dishwashing],
,,,-,Commercial Cookware & Kitchen Tools,,,,25357,Renamed from [Cookware & Kitchen Tools],
,,,,,Bakeware,,,11886,All listings are being moved into [Commercial Baking Supplies - 258569].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Foil & Wrap,,,57101,All listings are being moved into [Food Packaging Wraps & Liners - 258688].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,Pans,,,67163,All listings are being moved into [Other Commercial Cookware - 25359].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Kitchen Utensils,,,25358,All listings are being moved into [Other Commercial Cookware - 25359].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,-,Commercial Bakeware,,,258561,New Category,
,,,,,,Commercial Bread & Loaf Pans,,258562,New Category,
,,,,,,Commercial Cake Pans,,258563,New Category,
,,,,,,Commercial Muffin & Cupcake Pans,,258564,New Category,
,,,,,,Commercial Pizza Pans,,258565,New Category,
,,,,,,"Commercial Quiche, Tart & Pie Pans",,258566,New Category,
,,,,,,Commercial Roasting Pans,,258567,New Category,
,,,,,,Commercial Sheet Pans,,258568,New Category,
,,,,,,Commercial Baking Supplies,,258569,New Category,
,,,,,Commercial Cooking Pots,,,11877,Renamed from [Pots],
,,,,,Commercial Fry Pans & Woks,,,258570,New Category,
,,,,-,Commercial Kitchen Tools & Utensils,,,258571,New Category,
,,,,,,Colanders & Strainers,,258572,New Category,
,,,,,,Cutting Boards,,258573,New Category,
,,,,,,Food Dishers & Scoops,,258574,New Category,
,,,,,,Kitchen Spoons,,258575,New Category,
,,,,,,Ladles,,258576,New Category,
,,,,,,Pie Servers,,258577,New Category,
,,,,,,Pizza Peels,,258578,New Category,
,,,,,,Skimmers,,258579,New Category,
,,,,,,Steak Weights & Bacon Presses,,258580,New Category,
,,,,,,Tongs,,258581,New Category,
,,,,,,Turners & Spatulas,,258582,New Category,
,,,,,,Whisks & Whips,,258583,New Category,
,,,,,Commercial Knife Stones & Sharpeners,,,57087,Renamed from [Knife Stones & Sharpeners],
,,,,,Commercial Knives & Cutlery,,,257913,Renamed from [Knives & Cutlery],
,,,,,Other Commercial Cookware,,,25359,,
,,,-,Cooking Equipment,,,,53220,Renamed from [Cooking & Warming Equipment],
,,,,,Food Warmers & Heat Lamps,,,257912,All listings are being moved into [Other Commercial Warming Equipment - 259014].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Fryers,,,113742,All listings are being moved into [Other Commercial Cooking Equipment - 258841].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,"Grills, Griddles & Broilers",,,53216,All listings are being moved into [Commercial Broilers - 259007].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,-,Ovens & Ranges,,,53217,This Category is being retired.,
,,,,,,Deck & Conveyor Ovens,,57079,"All listings are being moved into [Conveyor, Deck & Pizza Ovens - 258588].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,Pizza Ovens,,25369,"All listings are being moved into [Conveyor, Deck & Pizza Ovens - 258588].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,,,Ranges,,25368,All listings are being moved into [Other Commercial Cooking Equipment - 258841].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Parts & Accessories,,,40116,All listings are being moved into [Other Cooking Equipment Parts & Accessories - 258609].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Other Commercial Warming Equipment,,,25370,All listings are being moved into [Other Commercial Warming Equipment - 259014].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,,Commercial Broilers,,,259007,New Category,
,,,,-,Commercial Deep Fryers,,,258584,New Category,
,,,,,,Electric Fryers,,258585,New Category,
,,,,,,Gas Fryers,,258586,New Category,
,,,,,Commercial Grills & Griddles,,,259008,New Category,
,,,,-,Commercial Ovens,,,259013,New Category,
,,,,,,Bakery Ovens & Oven Proofer Combos,,95084,Moved from [Ovens & Ranges-53217] Renamed from [Bakery Ovens],
,,,,,,Combination Ovens,,258587,New Category,
,,,,,,Commercial Microwave Ovens,,57080,Moved from [Ovens & Ranges-53217],
,,,,,,Convection Ovens,,53218,Moved from [Ovens & Ranges-53217],
,,,,,,"Conveyor, Deck & Pizza Ovens",,258588,New Category,
,,,,,,Rotisserie Ovens,,57081,Moved from [Ovens & Ranges-53217],
,,,,,,Other Commercial Ovens,,53219,Moved from [Ovens & Ranges-53217],
,,,,,Commercial Pasta Cookers & Rinse Stations,,,258589,New Category,
,,,,-,Commercial Ranges,,,258590,New Category,
,,,,,,Electric Ranges,,258591,New Category,
,,,,,,Gas Ranges,,258592,New Category,
,,,,,,Hot Plates,,258593,New Category,
,,,,,,"Wok, Mongolian Barbecue & Stock Pot Ranges",,258594,New Category,
,,,,,Commercial Rice Cookers & Warmers,,,258595,New Category,
,,,,,Commercial Sandwich & Panini Grills,,,57083,Renamed from [Sandwich & Panini Grills],
,,,,,Commercial Steamers,,,67156,Renamed from [Steamers & Steam Cooking],
,,,,,Commercial Toasters,,,67159,Renamed from [Toasters],
,,,,,Commercial Waffle Irons & Crepe Machines,,,57086,Renamed from [Waffle Irons & Crepe Machines],
,,,,,Outdoor Barbecue & Smokers,,,67155,,
